ETF穿透评分系统 · 全部181个材料覆盖清单（已分类）
生成时间: 2026-07-05
总计: 181个材料 (内置:90 + 插件:91)
覆盖ETF: 353/592 (59.6%)


【半导体】(30个材料, 总覆盖985次)
排名   材料名称                                          覆盖ETF    当前状态
47   特种钢(模具钢)                                      2        ¥1.5-2.5万/吨
48   沥青                                            2        ¥3,500-4,200/吨
49   PE管材                                          2        ¥8,000-10,000/吨
50   PLA/PHA生物塑料                                   2        ¥15-25/kg(PLA)
51   硅铁(75#)                                       1        6,500-7,500元/吨
52   电解锰                                           1        1.2-1.5万元/吨
53   棕榈油(RBD)                                      1        4,200-4,800令吉/吨
54   高粱(酿酒用)                                       1        ¥3,500-4,000/吨
55   基酒(酱香)                                        1        行业机密/不公开
56   瓦楞纸                                           1        ¥2,800-3,200/吨

【医药健康】(11个材料, 总覆盖225次)
排名   材料名称                                          覆盖ETF    当前状态
----------------------------------------------------------------------------------------------------
1    医疗器械(影像设备)                                    38       N/A
2    mRNA脂质纳米颗粒(LNP)                               34       N/A
3    基因测序(酶/芯片)                                    34       N/A
4    创新药出海(CMC)                                    34       N/A
5    创新药专利( biologics)                             33       N/A
6    抗体药物(单抗)                                      29       800-1200元/g
7    CXO(合同研发生产)                                   10       N/A
8    中药饮片(标准化)                                     6        150-300元/kg
9    化学原料药(API)                                    3        中国占全球40%
10   色谱填料(ProteinA)                                2        $3-5万/kg
11   一次性生物反应器耗材                                    2        国产化率<10%

【金融服务】(4个材料, 总覆盖117次)
排名   材料名称                                          覆盖ETF    当前状态
----------------------------------------------------------------------------------------------------
1    碳信用(欧盟EU ETS/中国CCER)                          39       €60-70/吨CO2 (EU ETS)
2    券商经纪业务                                        30       N/A
3    保险准备金(偿付能力)                                   24       N/A
4    银行不良资产处置                                      24       N/A

【国防军工】(3个材料, 总覆盖37次)
排名   材料名称                                          覆盖ETF    当前状态
----------------------------------------------------------------------------------------------------
1    军用芯片(抗辐射)                                     20       500-5000元/颗
2    航天推进剂(液氢/液氧)                                  15       N/A
3    隐身涂层                                          2        军品机密/不公开
